Vocab size: 65,536
num_layers: 20
model_dim: 1280
num_heads: 10
num_kv_heads: 10
Tokens / micro-batch / rank: 32 x 2048 = 65,536
Tokens / micro-batch: 524,288
Total batch size 524,288 => gradient accumulation steps: 1
Number of parameters: 560,988,160
Estimated FLOPs per token: 3.491758e+09
Calculated number of iterations from target data:param ratio: 21,400
Total number of training tokens: 11,219,763,200
Tokens : Params ratio: 20.00
Total training FLOPs estimate: 3.917670e+19
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Muon: Grouping 80 params of shape torch.Size([1280, 1280]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([1280, 5120]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([5120, 1280]), device cuda:0, dtype torch.float32
Step 00000 | Validation bpb: 3.3011
step 00000/21400 (0.00%) | loss: 11.090355 | grad norm: 0.4270 | lrm: 1.00 | dt: 73303.53ms | tok/sec: 7,152 | mfu: 0.32 | total time: 0.00m
step 00001/21400 (0.00%) | loss: 10.809150 | grad norm: 10.9311 | lrm: 1.00 | dt: 716.70ms | tok/sec: 731,533 | mfu: 32.28 | total time: 0.00m
step 00002/21400 (0.01%) | loss: 10.180016 | grad norm: 5.9503 | lrm: 1.00 | dt: 478.09ms | tok/sec: 1,096,634 | mfu: 48.40 | total time: 0.00m
step 00003/21400 (0.01%) | loss: 9.452870 | grad norm: 4.2932 | lrm: 1.00 | dt: 836.67ms | tok/sec: 626,636 | mfu: 27.66 | total time: 0.00m
step 00004/21400 (0.02%) | loss: 8.911160 | grad norm: 7.8589 | lrm: 1.00 | dt: 478.01ms | tok/sec: 1,096,812 | mfu: 48.41 | total time: 0.00m
step 00005/21400 (0.02%) | loss: 8.539222 | grad norm: 4.8886 | lrm: 1.00 | dt: 547.51ms | tok/sec: 957,592 | mfu: 42.26 | total time: 0.00m
step 00006/21400 (0.03%) | loss: 8.235615 | grad norm: 4.1759 | lrm: 1.00 | dt: 548.34ms | tok/sec: 956,136 | mfu: 42.20 | total time: 0.00m
step 00007/21400 (0.03%) | loss: 7.987676 | grad norm: 4.2143 | lrm: 1.00 | dt: 478.53ms | tok/sec: 1,095,629 | mfu: 48.35 | total time: 0.00m
step 00008/21400 (0.04%) | loss: 7.812088 | grad norm: 6.4625 | lrm: 1.00 | dt: 493.16ms | tok/sec: 1,063,125 | mfu: 46.92 | total time: 0.00m
step 00009/21400 (0.04%) | loss: 7.632099 | grad norm: 2.0131 | lrm: 1.00 | dt: 484.55ms | tok/sec: 1,082,020 | mfu: 47.75 | total time: 0.00m
step 00010/21400 (0.05%) | loss: 7.494435 | grad norm: 3.7884 | lrm: 1.00 | dt: 550.79ms | tok/sec: 951,877 | mfu: 42.01 | total time: 0.00m
step 00011/21400 (0.05%) | loss: 7.360839 | grad norm: 1.7773 | lrm: 1.00 | dt: 480.06ms | tok/sec: 1,092,138 | mfu: 48.20 | total time: 0.01m
step 00012/21400 (0.06%) | loss: 7.255089 | grad norm: 2.6206 | lrm: 1.00 | dt: 493.02ms | tok/sec: 1,063,427 | mfu: 46.93 | total time: 0.02m
step 00013/21400 (0.06%) | loss: 7.169732 | grad norm: 2.6285 | lrm: 1.00 | dt: 488.72ms | tok/sec: 1,072,775 | mfu: 47.34 | total time: 0.02m
step 00014/21400 (0.07%) | loss: 7.087135 | grad norm: 3.0962 | lrm: 1.00 | dt: 488.82ms | tok/sec: 1,072,563 | mfu: 47.33 | total time: 0.03m
step 00015/21400 (0.07%) | loss: 7.005323 | grad norm: 1.4136 | lrm: 1.00 | dt: 489.54ms | tok/sec: 1,070,986 | mfu: 47.27 | total time: 0.04m
step 00016/21400 (0.07%) | loss: 6.946074 | grad norm: 1.4922 | lrm: 1.00 | dt: 542.70ms | tok/sec: 966,077 | mfu: 42.64 | total time: 0.05m
step 00017/21400 (0.08%) | loss: 6.877357 | grad norm: 1.1820 | lrm: 1.00 | dt: 482.59ms | tok/sec: 1,086,397 | mfu: 47.95 | total time: 0.06m
step 00018/21400 (0.08%) | loss: 6.814795 | grad norm: 1.3263 | lrm: 1.00 | dt: 492.18ms | tok/sec: 1,065,225 | mfu: 47.01 | total time: 0.07m
step 00019/21400 (0.09%) | loss: 6.760539 | grad norm: 1.4206 | lrm: 1.00 | dt: 487.38ms | tok/sec: 1,075,723 | mfu: 47.47 | total time: 0.07m
step 00020/21400 (0.09%) | loss: 6.715126 | grad norm: 1.4582 | lrm: 1.00 | dt: 487.59ms | tok/sec: 1,075,261 | mfu: 47.45 | total time: 0.08m
step 00021/21400 (0.10%) | loss: 6.663388 | grad norm: 1.1195 | lrm: 1.00 | dt: 488.68ms | tok/sec: 1,072,873 | mfu: 47.35 | total time: 0.09m
step 00022/21400 (0.10%) | loss: 6.627443 | grad norm: 1.2561 | lrm: 1.00 | dt: 486.65ms | tok/sec: 1,077,351 | mfu: 47.55 | total time: 0.10m
step 00023/21400 (0.11%) | loss: 6.599137 | grad norm: 1.0611 | lrm: 1.00 | dt: 626.12ms | tok/sec: 837,365 | mfu: 36.95 | total time: 0.11m
step 00024/21400 (0.11%) | loss: 6.547942 | grad norm: 1.1611 | lrm: 1.00 | dt: 477.59ms | tok/sec: 1,097,773 | mfu: 48.45 | total time: 0.12m
step 00025/21400 (0.12%) | loss: 6.508975 | grad norm: 0.8481 | lrm: 1.00 | dt: 493.84ms | tok/sec: 1,061,657 | mfu: 46.85 | total time: 0.13m
step 00026/21400 (0.12%) | loss: 6.473842 | grad norm: 1.3673 | lrm: 1.00 | dt: 486.35ms | tok/sec: 1,078,002 | mfu: 47.57 | total time: 0.13m
