2025-11-30 20:43:45,798 - nanochat.checkpoint_manager - [32m[1mINFO[0m - No model tag provided, guessing model tag: d20
2025-11-30 20:43:45,799 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /home/ubuntu/.cache/nanochat/base_checkpoints/d20 with step 21400
2025-11-30 20:43:47,012 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 2048, 'vocab_size': 65536, 'n_layer': 20, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 1280}
Tokens / micro-batch / rank: 32 x 2048 = 65,536
Tokens / micro-batch: 524,288
Total batch size 524,288 => gradient accumulation steps: 1
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Muon: Grouping 80 params of shape torch.Size([1280, 1280]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([1280, 5120]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([5120, 1280]), device cuda:0, dtype torch.float32
Map: 100%|█| 99842/99842 [00:06<00
Step 00000 | Validation bpb: 0.6896
step 00001 (0.25%) | loss: 1.479751 | lrm: 1.00 | dt: 66916.68ms | tok/sec: 7,834 | mfu: 0.35 | total time: 0.00m
step 00002 (0.39%) | loss: 1.784013 | lrm: 1.00 | dt: 744.31ms | tok/sec: 704,397 | mfu: 31.09 | total time: 0.00m
step 00003 (0.51%) | loss: 1.928385 | lrm: 1.00 | dt: 469.95ms | tok/sec: 1,115,635 | mfu: 49.24 | total time: 0.00m
step 00004 (0.62%) | loss: 1.988170 | lrm: 1.00 | dt: 477.59ms | tok/sec: 1,097,774 | mfu: 48.45 | total time: 0.00m
step 00005 (0.74%) | loss: 1.989072 | lrm: 1.00 | dt: 475.34ms | tok/sec: 1,102,981 | mfu: 48.68 | total time: 0.00m
step 00006 (0.87%) | loss: 1.991284 | lrm: 1.00 | dt: 474.64ms | tok/sec: 1,104,592 | mfu: 48.75 | total time: 0.00m
step 00007 (1.00%) | loss: 1.976127 | lrm: 1.00 | dt: 479.53ms | tok/sec: 1,093,341 | mfu: 48.25 | total time: 0.00m
step 00008 (1.13%) | loss: 1.966603 | lrm: 1.00 | dt: 550.75ms | tok/sec: 951,944 | mfu: 42.01 | total time: 0.00m
step 00009 (1.26%) | loss: 1.948523 | lrm: 1.00 | dt: 469.01ms | tok/sec: 1,117,869 | mfu: 49.33 | total time: 0.00m
step 00010 (1.37%) | loss: 1.946809 | lrm: 1.00 | dt: 480.94ms | tok/sec: 1,090,126 | mfu: 48.11 | total time: 0.00m
step 00011 (1.51%) | loss: 1.932716 | lrm: 1.00 | dt: 549.05ms | tok/sec: 954,905 | mfu: 42.14 | total time: 0.01m
