2025-11-30 21:00:33,911 - nanochat.checkpoint_manager - [32m[1mINFO[0m - No model tag provided, guessing model tag: d20
2025-11-30 21:00:33,912 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /home/ubuntu/.cache/nanochat/mid_checkpoints/d20 with step 808
2025-11-30 21:00:35,162 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 2048, 'vocab_size': 65536, 'n_layer': 20, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 1280}
Target examples per step: 32
Device batch size: 4
Examples per step is device_batch_size * ddp_world_size: 32
=> Setting grad accum steps: 1
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Muon: Grouping 80 params of shape torch.Size([1280, 1280]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([1280, 5120]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([5120, 1280]), device cuda:0, dtype torch.float32
Step 00000 | Validation loss: 1.017535
Step 00000/00701 | Training loss: 0.977048| lrm: 1.000000| num_tokens: 10,466
Step 00001/00701 | Training loss: 0.865718| lrm: 0.998573| num_tokens: 13,599
Step 00002/00701 | Training loss: 1.149698| lrm: 0.997147| num_tokens: 10,160
Step 00003/00701 | Training loss: 1.117614| lrm: 0.995720| num_tokens: 14,356
Step 00004/00701 | Training loss: 0.690585| lrm: 0.994294| num_tokens: 11,037
Step 00005/00701 | Training loss: 0.756910| lrm: 0.992867| num_tokens: 8,097
Step 00006/00701 | Training loss: 0.901470| lrm: 0.991441| num_tokens: 11,158
Step 00007/00701 | Training loss: 1.168492| lrm: 0.990014| num_tokens: 12,208
Step 00008/00701 | Training loss: 0.883497| lrm: 0.988588| num_tokens: 9,369
Step 00009/00701 | Training loss: 0.728059| lrm: 0.987161| num_tokens: 11,171
Step 00010/00701 | Training loss: 0.450231| lrm: 0.985735| num_tokens: 16,690
Step 00011/00701 | Training loss: 0.911776| lrm: 0.984308| num_tokens: 11,585
Step 00012/00701 | Training loss: 0.769801| lrm: 0.982882| num_tokens: 11,801
Step 00013/00701 | Training loss: 0.967406| lrm: 0.981455| num_tokens: 11,683
Step 00014/00701 | Training loss: 0.395526| lrm: 0.980029| num_tokens: 7,199
Step 00015/00701 | Training loss: 0.976793| lrm: 0.978602| num_tokens: 11,956
Step 00016/00701 | Training loss: 0.839524| lrm: 0.977175| num_tokens: 17,538
Step 00017/00701 | Training loss: 0.970338| lrm: 0.975749| num_tokens: 12,526
Step 00018/00701 | Training loss: 1.080777| lrm: 0.974322| num_tokens: 15,100
Step 00019/00701 | Training loss: 0.572606| lrm: 0.972896| num_tokens: 9,716
